name,count
Advance Ticket GmbH,2
Adventgemeinde,3
Adventure Engelberg,2
Advise Treuhand AG,2
Advokatur & Rechtsberatung TRIAS AG,4
"Advokatur Berger, Rechtsanwälte",4
Advokatur Canto Legal,2
Advokatur Chiandusso & Mosimann,2
Advokatur Iwangoff Brodmann,2
Advokatur Muhr,2
"Advokatur Notariat Lemann, Walz & Partner",3
Advokatur Notariat Schaffner Zenari Thomann,2
Advokatur am Bärenplatz,3
"Advokatur am Rhein, Markus Trottmann, Advokat",2
Advokatur an der Gotthardstrasse,2
Advokatur und Notariat Glatthard,2
Advokatur und Notariat Schweingruber,2
Advokatur- und Notariatsbüro Andrea Keller,2
Advokaturbüro,3
Advokaturbüro Christian Gerber,3
Advokaturbüro Kurt Gaensli & Partner,2
Advokaturbüro Rita Zeiter,2
Advokaturbüro Schmiedenplatz,4
Aebi Waffen GmbH,2
Aegerter,2
Aegerter Heizungs- und Sanitärservice,2
Aermon GmbH,2
Aerztezentrum Burg AG,2
Aerztlicher Notfalldienst,2
"Aesch BL, Dorf",2
"Aesch BL, Dorf (Bus)",2
Aeschlimann Elena Sàrl,3
Aesthetic-center,2
Aesthetik Bern Medizinisches Laserzentrum,5
Aetius AG,2
Affaires de Filles,3
"Affolter, Philip",2
Affrunti Tony Café Bar il Delfino,4
Afrikana,2
Afrod'Or,3
Agence Fret Cargo,2
Agence Imalp Gérance Sàrl,3
Agence Immobilière Roger Bussard SA,2
Agence TPG Cornavin,2
Agence de voyages CFF,6
Agence immobilière COGESTIM,2
Agence postale,3
"Agenceimmobilere Schoeni, Titulaire Nicole Schoeni",3
Agent Provocateur,2
Agenzia Allianz RAS,31
Agenzia postale,4
Aggarwal AG,2
Aggarwal Indian Food,2
Agip,28
Agora Swiss Night**** By Fassbind,2
Agrola,2
Agrola - Bulle,2
Agrola - Wil,2
Agrola Tankstelle,3
Aimée Modes Emch,2
Air Vacances S.A.,2
Aircréation Sàrl,3
Akiko,3
Akila AG,2
Akyado Nail Lounge Bulle,2
Al Amir Egypt,3
Al Commercio ff SA,2
Al Corredo di Stefano Colombo & Co SA,3
Al Fadl Services Sarl,2
Al Forno,2
Al Leone,3
Al Sacco,3
Al-Andalus,3
AlaGare,3
Alabama,4
Alain Afflelou,8
Alain Castella,2
Alan-David Sàrl,3
Alar Clean Shop ÖKO -Textilpflege,2
Alatik SA,2
Albam AG,2
Albaraa Voyages Sàrl,2
Albergo Nazionale,2
Albergo Ristorante della Posta,2
Albergo-Ristorante Lucernese,2
Alberobello L'Erbolario Solothurn,2
Albert le Grand,3
Albert's Backstube,2
Alberti atelier,2
Albisser Consulting SA,2
AlbuVille AG,2
Albula Railways GmbH,2
Aldo Civitillo SA,3
Ale Estetica,3
Alea Software GmbH,3
Alema SA,3
Aleo AG,2
Alex Hug AG,2
Alex8hoch2 - Dres. med. N&W Krafft-Hügli,2
Alexander Keller AG,2
Alexander Sachs,3
"Alexandre Martinez, spéc. FMH en ophtalmologie et ophtalmochirurgie",2
Alfred Wyss AG,2
AliCem Sàrl,2
Alibi Boutique,2
"Alice De Werra, Zahnärztin",2
Alinaria AG,2
Aliverti AG,2
Alja Nouveau AG,35
All Bar One,2
All In Music Bar,2
All Your Skin Salzgeber,2
AllSaints,5
Alla Fermata Lugano,2
Allbau Suisse AG,2
Allemann Goldschmied GmbH,4
Allen,3
Allergiepraxis BEO AG,2
Allerlei Schaffhausen,3
Alles rein Textilreinigung,2
Alles wird gut AG,2
Allfunds International Schweiz AG,2
Allianz,4
Alloggio Posta,2
"Allround Elektronic, Spirig Ivo",2
Allure Boutique SA,2
Alma Insurance Broker SA,2
Almeida & Mech,2
Almi SA,2
Almigi GmbH,2
Almodo AG,2
Alnatura Bio-Supermarkt,2
Aloc-Cars,3
Alpen Software SA c/o SMC Trust Office SA,3
Alpenhotel Résidence,2
Alpha coiffure Sàrl,2
Alpha-Palmiers **** By Fassbind,2
Alpina Broker GmbH,2
Alpina Verwaltung,2
Alpineum Produzentengalerie,3
Alpiq InTec Ticino SA,4
Alpkäserei Ahorni,2
Altalena SA,6
Alte Börse,2
Alte Krone,2
Alte Schule,2
Alter Ego,2
Altpraxdata GmbH,2
Altstadt Apotheke,2
Altstadt Podologie,2
Alvarez Voyages SA,2
Alvaro Beratungs GmbH,2
Alvor Technik GmbH,2
Al­le­mann Gold­sch­mied GmbH,4
Am Bahnhof Tierarztpraxis,2
Am Laufmeter Stoffe,2
Amavita,4
Amavita Apotheke,15
"Amavita Apotheke Brugg, Aargau",2
Amavita Apotheke Bälliz,2
"Amavita Apotheke Central, Basel",2
"Amavita Apotheke Derby, St. Gallen",2
"Amavita Apotheke Ischi, Bern",2
Amavita Apotheke Landi,2
"Amavita Apotheke Rebgasse, Basel",2
"Amavita Apotheke Schwanen, Bern",2
"Amavita Apotheke Stadthaus, Basel",2
"Amavita Apotheke Stern Biel/Bienne, Bern",2
Amavita Apotheke Sunnemärt,2
"Amavita Apotheke, Zug",2
Ambassade Paraguay,3
Ambassade de l'Uruguay,3
Ambianze Sagl,3
Ambler Management GmbH,3
Ambulantes Zahnmedizinisches Zentrum Zug Bilitsch,2
Ambulatorium ipw,2
Ambühl Jakob,5
American Bar & Restaurant,2
American Dream Diner,2
American Drugstore,2
American Market,2
"Ami Ongle, Extension de cheveux naturels",3
Amici Hairdesign,2
Ammann Rechtsanwälte AG,3
Amministrazione fondi lotteria e Sport-toto,2
AmmonCasa Sagl,2
Ampersand - Grill & Steakhaus,2
Amplifon,50
Amr Association L'encouragement De La Musique Improvisée,2
Amrein Reisen,2
Amrhein Optik GmbH,2
Amsler Spielwaren,2
Amtshaus II,2
An Mo Lounge,2
Ana Maria Sommer am Neumarkt Physio & Domizilbehandlung,2
Anadolu-Helvetia Verein,2
Anafets AG,2
Anantara AG,4
"Anatta Thai Spa ,Cosmetics, Massage Biel-Bienne",2
Anch'io Nail-Design,2
Anchorage Group AG,3
"Andelfingen, Bahnhof",2
"Andrea Blumer-Schwyter, Physiotherapeutin",2
Andrea Herzig-Meier und Simone Wüscher,2
"Andrea Zimmermann-Zahner, Physiotherapeutin",3
Andrea by Fricker,2
Andreas Klingebiel - Praxis RaumZeit,4
"André Aïoutz, Médecin-dentiste, chirurgien",3
Andy Jllien Shoes,2
Anfield - no. 1 Sports Pub in Lucerne,2
Anfield Pub,4
Angel Nails Fahrni by Santina Nail stylist,5
Angel beauty lounge Lehmann,2
Angel-Eyes,2
Angela Coiffure,2
Angelo Gastro Treuhand AG,2
"Angie's coiffure, Salon Métroshopping",3
Anglo-World Travel SA,3
Angéloz Mode,4
"Anja van Weert, Physiotherapeutin",2
Anker,4
Anker Apotheke,2
